meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.055,51.5495,174.75,RX_3784,0.00013964465548915142
-0.0551,51.5495,174.78,RX_3786,0.0001959323007349924
-0.0551,51.5495,174.43,RX_3786,0.0001959323007349924
-0.0551,51.5495,173.96,RX_3786,0.0001959323007349924
-0.0552,51.5495,174.81,RX_3789,0.0001395720887296456
-0.0552,51.5495,173.57,RX_3789,0.0001395720887296456
-0.0553,51.5495,173.69,RX_3792,0.00011176791840414519
-0.0553,51.5495,173.97,RX_3792,0.00011176791840414519
-0.0554,51.5495,174.87,RX_3795,0.00010362898487052387
-0.0554,51.5495,175.35000000000002,RX_3795,0.00010362898487052387
-0.0554,51.5495,173.82999999999998,RX_3795,0.00010362898487052387
-0.0555,51.5495,174.05,RX_3797,6.534709438574353e-05
-0.0555,51.5495,173.2,RX_3797,6.534709438574353e-05
-0.0556,51.5495,174.0,RX_3798,0.00012156920274413307
-0.0556,51.5495,174.42000000000002,RX_3798,0.00012156920274413307
-0.0557,51.5495,174.96,RX_3801,0.0002175601273730035
-0.0557,51.5495,175.59,RX_3801,0.0002175601273730035
-0.0558,51.5495,174.53,RX_3804,0.00014981887953530312
-0.0558,51.5495,173.36,RX_3804,0.00014981887953530312
-0.0558,51.5495,174.16,RX_3804,0.00014981887953530312
-0.0559,51.5495,174.49,RX_3805,0.00012315317233245
-0.0559,51.5495,172.5,RX_3805,0.00012315317233245
-0.056,51.5495,175.14,RX_3808,4.861830330356957e-05
-0.056,51.5495,174.22,RX_3808,4.861830330356957e-05
-0.0561,51.5495,174.61,RX_3811,8.926933844281097e-05
-0.0561,51.5495,175.04000000000002,RX_3811,8.926933844281097e-05
-0.0561,51.5495,173.74,RX_3811,8.926933844281097e-05
-0.0562,51.5495,174.47,RX_3813,0.0001114502225348197
-0.0562,51.5495,172.85000000000002,RX_3813,0.0001114502225348197
-0.0563,51.5495,173.82,RX_3815,0.0002013155787501794
-0.0563,51.5495,173.91,RX_3815,0.0002013155787501794
-0.0564,51.5495,174.25,RX_3817,0.0001587981506485863
-0.0564,51.5495,173.44,RX_3817,0.0001587981506485863
-0.0565,51.5495,172.2,RX_3818,0.00010704435698045615
-0.0565,51.5495,172.25,RX_3818,0.00010704435698045615
-0.0566,51.5495,171.49,RX_3822,0.00011692857325010827
-0.0566,51.5495,173.07,RX_3822,0.00011692857325010827
-0.0566,51.5495,169.93,RX_3822,0.00011692857325010827
-0.0567,51.5495,167.79000000000002,RX_3823,6.223453994492218e-05
-0.0568,51.5495,168.34,RX_3826,0.00010469559154689395
-0.0568,51.5495,168.46,RX_3826,0.00010469559154689395
-0.0568,51.5495,168.55,RX_3826,0.00010469559154689395
-0.0569,51.5495,167.11,RX_3828,0.00017843619099837586
-0.0569,51.5495,167.98000000000002,RX_3828,0.00017843619099837586
-0.057,51.5495,170.23000000000002,RX_3829,0.000172395499095499
-0.057,51.5495,170.03,RX_3829,0.000172395499095499
-0.0571,51.5495,170.31,RX_3831,0.00013574928529242746
-0.0571,51.5495,169.01999999999998,RX_3831,0.00013574928529242746
-0.0572,51.5495,170.07,RX_3834,0.00012249322531441065
-0.0572,51.5495,167.63,RX_3834,0.00012249322531441065
-0.0572,51.5495,167.86,RX_3834,0.00012249322531441065
-0.0573,51.5495,167.84,RX_3836,0.0001238918090553595
-0.0573,51.5495,168.5,RX_3836,0.0001238918090553595
-0.0574,51.5495,169.66,RX_3838,0.00016116237786067438
-0.0574,51.5495,169.99,RX_3838,0.00016116237786067438
-0.0575,51.5495,169.23000000000002,RX_3840,0.00021300360841167363
-0.0575,51.5495,170.48000000000002,RX_3840,0.00021300360841167363
